"probeID" "Entrez"
"1552546_a_at" "1552546_a_at" "LETM2"
"1552548_at" "1552548_at" "BSND"
"1552549_a_at" "1552549_a_at" "BSND"
"1552552_s_at" "1552552_s_at" "CLEC4C"
"1552553_a_at" "1552553_a_at" "NLRC4"
"1552554_a_at" "1552554_a_at" "NLRC4"
"1552555_at" "1552555_at" "PRSS36"
"1552557_a_at" "1552557_a_at" "ZDHHC15"
"1552558_a_at" "1552558_a_at" "RAI1"
"1552559_a_at" "1552559_a_at" "CDK15"
"1552562_at" "1552562_at" "ZNF570"
"1552563_a_at" "1552563_a_at" NA
"1552564_at" "1552564_at" "NUDT9P1"
"1552566_at" "1552566_at" "BTBD16"
"1552568_at" "1552568_at" "RTP3"
"1552569_a_at" "1552569_a_at" "RTP3"
"1552570_at" "1552570_at" "C21orf29"
"1552572_a_at" "1552572_a_at" "MIPOL1"
"1552573_s_at" "1552573_s_at" "MIPOL1"
"1552575_a_at" "1552575_a_at" "C6orf141"
"1552576_at" "1552576_at" "ALMS1P"
"1552578_a_at" "1552578_a_at" "MYO3B"
"1552579_a_at" "1552579_a_at" "ADAM21"
"1552580_at" "1552580_at" "TRIML2"
"1552582_at" "1552582_at" "ABCC13"
"1552583_s_at" "1552583_s_at" "ABCC13"
"1552584_at" "1552584_at" "IL12RB1"
"1552585_s_at" "1552585_s_at" "GTF2A1L"
"1552586_at" "1552586_at" "TRPV3"
"1552587_at" "1552587_at" "CNBD1"
"1552588_a_at" "1552588_a_at" "CNBD1"
"1552590_a_at" "1552590_a_at" "ABCC12"
"1552592_at" "1552592_at" "MMP21"
"1552594_at" "1552594_at" "TMEM190"
"1552596_at" "1552596_at" "GAS2L2"
"1552598_at" "1552598_at" "KCNG4"
"1552599_at" "1552599_at" "PXT1"
"1552602_at" "1552602_at" "CACNG5"
"1552604_at" "1552604_at" "C21orf74"
"1552605_s_at" "1552605_s_at" "C21orf74"
"1552607_at" "1552607_at" "NCRNA00204"
"1552608_at" "1552608_at" "WFDC11"
"1552609_s_at" "1552609_s_at" NA
"1552610_a_at" "1552610_a_at" "JAK1"
"1552611_a_at" "1552611_a_at" "JAK1"
"1552612_at" "1552612_at" "CDC42SE2"
"1552613_s_at" "1552613_s_at" "CDC42SE2"
"1552615_at" "1552615_at" "ACACB"
"1552616_a_at" "1552616_a_at" "ACACB"
"1552617_a_at" "1552617_a_at" "RFWD2"
"1552618_at" "1552618_at" "STX6"
"1552619_a_at" "1552619_a_at" "ANLN"
"1552620_at" "1552620_at" "SPRR4"
"1552621_at" "1552621_at" NA
"1552622_s_at" "1552622_s_at" NA
"1552623_at" "1552623_at" "HSH2D"
"1552625_a_at" "1552625_a_at" "TRNT1"
"1552626_a_at" "1552626_a_at" "TMEM163"
"1552627_a_at" "1552627_a_at" "ARHGAP5"
"1552628_a_at" "1552628_a_at" "HERPUD2"
"1552629_a_at" "1552629_a_at" "JMJD6"
"1552630_a_at" "1552630_a_at" "SRCAP"
"1552631_a_at" "1552631_a_at" "MAP3K6"
"1552632_a_at" "1552632_a_at" "ARSG"
"1552633_at" "1552633_at" "ZNF101"
"1552634_a_at" "1552634_a_at" "ZNF101"
"1552637_at" "1552637_at" "PTPN11"
"1552639_at" "1552639_at" "KLHDC7B"
"1552641_s_at" "1552641_s_at" NA
"1552643_at" "1552643_at" "ZNF626"
"1552644_a_at" "1552644_a_at" "PHC3"
"1552646_at" "1552646_at" "IL11RA"
"1552648_a_at" "1552648_a_at" "TNFRSF10A"
"1552649_a_at" "1552649_a_at" "RFFL"
"1552651_a_at" "1552651_a_at" "RFFL"
"1552652_at" "1552652_at" "HPS4"
"1552656_s_at" "1552656_s_at" "UHMK1"
"1552657_a_at" "1552657_a_at" "TXNDC2"
"1552658_a_at" "1552658_a_at" "NAV3"
"1552660_a_at" "1552660_a_at" "C5orf22"
"1552661_at" "1552661_at" "PCDHGB7"
"1552662_a_at" "1552662_a_at" "PCDHGB7"
"1552663_a_at" "1552663_a_at" "ERC1"
"1552664_at" "1552664_at" "FLCN"
"1552665_at" "1552665_at" "LOC84989"
"1552666_a_at" "1552666_a_at" "LRRC7"
"1552667_a_at" "1552667_a_at" "SH2D3C"
"1552669_at" "1552669_at" "PPP1R3B"
"1552670_a_at" "1552670_a_at" "PPP1R3B"
"1552671_a_at" "1552671_a_at" "SLC9A7"
"1552672_a_at" "1552672_a_at" "IGSF3"
"1552673_at" "1552673_at" "RFX6"
"1552674_at" "1552674_at" "DIRC1"
"1552675_at" "1552675_at" "DNAJB7"
"1552676_at" "1552676_at" "UCN3"
"1552677_a_at" "1552677_a_at" "DIP2A"
"1552678_a_at" "1552678_a_at" "USP28"
"1552680_a_at" "1552680_a_at" "CASC5"
"1552682_a_at" "1552682_a_at" "CASC5"
"1552684_a_at" "1552684_a_at" "SENP8"
"1552685_a_at" "1552685_a_at" "GRHL1"
"1552686_at" "1552686_at" "C20orf152"
"1552687_a_at" "1552687_a_at" "C20orf152"
"1552689_at" "1552689_at" "CASKIN1"
"1552690_a_at" "1552690_a_at" "CACNA2D4"
"1552691_at" "1552691_at" "ARL11"
"1552693_at" "1552693_at" "ARL11"
"1552694_at" "1552694_at" "SLC2A13"
"1552695_a_at" "1552695_a_at" "SLC2A13"
"1552696_at" "1552696_at" "NIPA1"
"1552698_at" "1552698_at" "MGC16703"
"1552701_a_at" "1552701_a_at" "CARD16"
"1552703_s_at" "1552703_s_at" NA
"1552705_at" "1552705_at" "DUSP19"
"1552708_a_at" "1552708_a_at" "DUSP19"
"1552711_a_at" "1552711_a_at" "CYB5D1"
"1552712_a_at" "1552712_a_at" "NMNAT2"
"1552713_a_at" "1552713_a_at" "SLC4A1"
"1552714_at" "1552714_at" "CREG2"
"1552715_a_at" "1552715_a_at" "RXFP1"
"1552716_at" "1552716_at" "SPEF2"
"1552717_s_at" "1552717_s_at" NA
"1552718_at" "1552718_at" "DTD1"
"1552719_at" "1552719_at" "CASC4"
"1552721_a_at" "1552721_a_at" "FGF1"
"1552722_at" "1552722_at" "ARPP-21"
"1552724_at" "1552724_at" "RHOXF1"
"1552725_s_at" "1552725_s_at" "ADAMTS17"
"1552726_at" "1552726_at" "ADAMTS17"
"1552727_s_at" "1552727_s_at" "ADAMTS17"
"1552729_at" "1552729_at" "SNHG7"
"1552730_at" "1552730_at" "DHH"
"1552731_at" "1552731_at" "ABRA"
"1552732_at" "1552732_at" "ABRA"
"1552733_at" "1552733_at" "KLHDC1"
"1552734_at" "1552734_at" "RICTOR"
"1552735_at" "1552735_at" NA
"1552736_a_at" "1552736_a_at" "NETO1"
"1552737_s_at" "1552737_s_at" "WWP2"
"1552738_a_at" "1552738_a_at" "ST7L"
"1552739_s_at" "1552739_s_at" "ST7L"
"1552740_at" "1552740_at" "C2orf15"
"1552742_at" "1552742_at" "KCNH8"
"1552743_at" "1552743_at" "MCF2L"
"1552745_at" "1552745_at" "SLCO6A1"
"1552747_a_at" "1552747_a_at" "C3orf48"
"1552749_a_at" "1552749_a_at" "KLC3"
"1552750_at" "1552750_at" "CIB3"
"1552751_a_at" "1552751_a_at" "CIB3"
"1552752_a_at" "1552752_a_at" "CADM2"
"1552754_a_at" "1552754_a_at" "CADM2"
"1552755_at" "1552755_at" "C9orf66"
"1552757_s_at" "1552757_s_at" "C9orf66"
"1552758_at" "1552758_at" "HDAC9"
"1552760_at" "1552760_at" "HDAC9"
"1552761_at" "1552761_at" "SLC16A11"
"1552763_at" "1552763_at" "TMEM67"
"1552765_x_at" "1552765_x_at" "TMEM67"
"1552766_at" "1552766_at" "HS6ST2"
"1552767_a_at" "1552767_a_at" "HS6ST2"
"1552768_at" "1552768_at" "CAMKK1"
"1552769_at" "1552769_at" "ZNF625"
"1552770_s_at" "1552770_s_at" "ZNF563"
"1552771_a_at" "1552771_a_at" "LIN9"
"1552772_at" "1552772_at" "CLEC4D"
"1552773_at" "1552773_at" "CLEC4D"
"1552774_a_at" "1552774_a_at" "SLC25A27"
"1552775_at" "1552775_at" "GPRC6A"
"1552777_a_at" "1552777_a_at" "RAET1E"
"1552779_a_at" "1552779_a_at" "SLC44A5"
"1552782_at" "1552782_at" "SLC44A5"
"1552783_at" "1552783_at" "ZNF417"
"1552785_at" "1552785_at" "ZNF781"
"1552787_at" "1552787_at" "HELB"
"1552788_a_at" "1552788_a_at" "HELB"
"1552789_at" "1552789_at" "SEC62"
"1552790_a_at" "1552790_a_at" "SEC62"
"1552791_a_at" "1552791_a_at" "TRDN"
"1552792_at" "1552792_at" "SOCS4"
"1552793_at" "1552793_at" "C8orf31"
"1552794_a_at" "1552794_a_at" "ZNF547"
"1552796_a_at" "1552796_a_at" "SIM1"
"1552797_s_at" "1552797_s_at" "PROM2"
"1552798_a_at" "1552798_a_at" "TLR4"
"1552799_at" "1552799_at" "TSNARE1"
"1552800_at" "1552800_at" "ABHD11"
"1552801_at" "1552801_at" "CAPN13"
"1552803_a_at" "1552803_a_at" "STMN1"
"1552804_a_at" "1552804_a_at" "TIRAP"
"1552806_a_at" "1552806_a_at" NA
"1552807_a_at" "1552807_a_at" NA
"1552808_at" "1552808_at" "ADAMTSL1"
"1552809_at" "1552809_at" "RFX4"
"1552811_at" "1552811_at" "WFIKKN1"
"1552812_a_at" "1552812_a_at" "SENP1"
"1552813_at" "1552813_at" "KLF14"
"1552814_a_at" "1552814_a_at" "KLF14"
"1552816_at" "1552816_at" "NXNL2"
"1552818_a_at" "1552818_a_at" "BRS3"
"1552819_at" "1552819_at" "NCRNA00205"
"1552822_at" "1552822_at" "TMX3"
"1552825_at" "1552825_at" "ZNF396"
"1552826_at" "1552826_at" "SLC26A7"
"1552827_s_at" "1552827_s_at" "SLC26A7"
"1552828_at" "1552828_at" "SNX18"
"1552829_at" "1552829_at" NA
"1552830_at" "1552830_at" "FBXO39"
"1552833_at" "1552833_at" "B3GNT6"
"1552834_at" "1552834_at" "B3GNT6"
"1552835_at" "1552835_at" "DENND1B"
"1552836_at" "1552836_at" "ZNF619"
"1552837_at" "1552837_at" "ICK"
"1552839_at" "1552839_at" "FAM71D"
"1552841_s_at" "1552841_s_at" "BCL2L14"
"1552842_at" "1552842_at" "HS6ST3"
"1552843_at" "1552843_at" "SLC26A1"
"1552845_at" "1552845_at" "CLDN15"
"1552846_s_at" "1552846_s_at" "RAB42"
"1552848_a_at" "1552848_a_at" "PTCHD1"
"1552849_at" "1552849_at" "C2orf65"
"1552851_at" "1552851_at" "ZSCAN4"
"1552852_a_at" "1552852_a_at" "ZSCAN4"
"1552853_at" "1552853_at" "VWA5B1"
"1552854_a_at" "1552854_a_at" "VWA5B1"
"1552856_at" "1552856_at" "TMEM148"
"1552857_a_at" "1552857_a_at" "HTR6"
"1552858_at" "1552858_at" "MAGEB6"
"1552860_at" "1552860_at" "TCEB3C"
"1552862_at" "1552862_at" "C1orf104"
"1552863_a_at" "1552863_a_at" "CACNG6"
"1552865_a_at" "1552865_a_at" "IFLTD1"
"1552867_at" "1552867_at" NA
"1552868_at" "1552868_at" "C19orf23"
"1552870_s_at" "1552870_s_at" "C1orf125"
"1552872_at" "1552872_at" "NCRNA00105"
"1552873_s_at" "1552873_s_at" "NCRNA00105"
"1552875_a_at" "1552875_a_at" "CD200R1"
"1552876_at" "1552876_at" "C21orf89"
"1552877_s_at" "1552877_s_at" "C21orf89"
"1552878_at" "1552878_at" "ATOH7"
"1552879_a_at" "1552879_a_at" "ATOH7"
"1552880_at" "1552880_at" "SEC16B"
"1552882_a_at" "1552882_a_at" "FAM123B"
"1552884_at" "1552884_at" "NKX6-3"
"1552885_a_at" "1552885_a_at" "NKX6-3"
"1552887_at" "1552887_at" "C10orf27"
"1552889_a_at" "1552889_a_at" "EXOC3L2"
"1552890_a_at" "1552890_a_at" "CABP4"
"1552892_at" "1552892_at" "TNFRSF13C"
"1552893_at" "1552893_at" "CAMK2N2"
"1552895_a_at" "1552895_a_at" "C21orf99"
"1552897_a_at" "1552897_a_at" "KCNG3"
"1552898_a_at" "1552898_a_at" "KCNG3"
"1552899_at" "1552899_at" "RP4-662A9.2"
"1552900_a_at" "1552900_a_at" "RP4-662A9.2"
"1552902_a_at" "1552902_a_at" "FOXP2"
"1552903_at" "1552903_at" "B4GALNT2"
