"probeID" "Entrez"
"2350400" "2350400" "ZNF829"
"2680315" "2680315" "ZNF829"
"7050059" "7050059" "ZNF829"
"6180445" "6180445" "LOC389286"
"3840114" "3840114" "LUZP5"
"4730356" "4730356" "C19orf31"
"3180707" "3180707" "C19orf31"
"7050064" "7050064" "RAMP1"
"2230661" "2230661" NA
"380327" "380327" "LOC730820"
"2600646" "2600646" "WDR45L"
"830189" "830189" "SNW1"
"6200390" "6200390" "PRIM1"
"5270296" "5270296" "TFB2M"
"990100" "990100" "TFB2M"
"5960328" "5960328" "LOC644844"
"5130437" "5130437" NA
"5310328" "5310328" "LRRC31"
"6110040" "6110040" "LOC642918"
"5860110" "5860110" "RABL3"
"1190240" "1190240" "PRAMEF4"
"4060142" "4060142" "PRAMEF4"
"3520086" "3520086" NA
"1450619" "1450619" "KNG1"
"5420402" "5420402" NA
"6660672" "6660672" NA
"450626" "450626" "VGLL3"
"4060722" "4060722" "PHB2"
"7570484" "7570484" "TFF3"
"1780278" "1780278" "EFNA4"
"4900594" "4900594" "TRPC7"
"7050601" "7050601" "LOC647910"
"2490221" "2490221" NA
"6110070" "6110070" "OR7C1"
"2640041" "2640041" "LOC644836"
"3370240" "3370240" "LCN12"
"4860152" "4860152" "PLA2G2A"
"4210563" "4210563" "PIKFYVE"
"2630364" "2630364" NA
"1820075" "1820075" "QPCT"
"5570139" "5570139" "QPCT"
"830343" "830343" "LOC647190"
"620246" "620246" "C11orf65"
"1710402" "1710402" NA
"3520017" "3520017" NA
"3420279" "3420279" NA
"1850689" "1850689" "LOC652200"
"4010427" "4010427" "CECR1"
"5910703" "5910703" "LOC644571"
"2100296" "2100296" "NAPSA"
"4390091" "4390091" NA
"5090193" "5090193" "C7orf20"
"2900674" "2900674" "IGSF3"
"2190133" "2190133" "MGC42630"
"2810292" "2810292" NA
"6180138" "6180138" "IQSEC3"
"2350070" "2350070" NA
"2260114" "2260114" NA
"3130026" "3130026" "MAPK8IP2"
"1410315" "1410315" "MAPK8IP2"
"1660270" "1660270" "MTHFD1"
"2810192" "2810192" "ITGB1BP3"
"6250541" "6250541" "ITGB1BP3"
"1070161" "1070161" "LOC391347"
"3990274" "3990274" NA
"1050632" "1050632" "CCDC74B"
"2030110" "2030110" "BCR"
"7320215" "7320215" NA
"510437" "510437" NA
"6350020" "6350020" "C8orf54"
"7100068" "7100068" NA
"50184" "50184" NA
"940681" "940681" NA
"1300465" "1300465" "CD177"
"1500431" "1500431" "SPATA4"
"1340669" "1340669" NA
"7610725" "7610725" NA
"4830301" "4830301" "KAT2A"
"830541" "830541" "LOC728608"
"3310369" "3310369" NA
"5080184" "5080184" "LOC650107"
"2680112" "2680112" NA
"6040605" "6040605" "SSX4"
"1240524" "1240524" NA
"4010368" "4010368" "SPHAR"
"1740711" "1740711" "MEF2B"
"240181" "240181" "MMP17"
"6100201" "6100201" NA
"7560474" "7560474" NA
"5570022" "5570022" NA
"6020224" "6020224" "FBP1"
"5560463" "5560463" NA
"730220" "730220" NA
"1450204" "1450204" "LOC653145"
"5900411" "5900411" "CLEC2A"
"3710739" "3710739" NA
"1430121" "1430121" "LOC648763"
"430747" "430747" "PECAM1"
"2690671" "2690671" NA
"4560546" "4560546" "LOC647839"
"6040431" "6040431" "GRM8"
"5720139" "5720139" "C9orf11"
"6450372" "6450372" "PDHA1"
"7510711" "7510711" "SULT1A1"
"6270725" "6270725" "SULT1A1"
"990669" "990669" "SULT1A1"
"1410630" "1410630" NA
"3800605" "3800605" "LOC732275"
"6280020" "6280020" "LOC643203"
"3180082" "3180082" NA
"2260215" "2260215" "CASP3"
"1570541" "1570541" "LOC400499"
"4060717" "4060717" "LOC400499"
"3830301" "3830301" "LOC197350"
"2480136" "2480136" "HIBADH"
"5050487" "5050487" NA
"1410392" "1410392" "UBE2J2"
"610017" "610017" "LOC200261"
"6420465" "6420465" "GABARAPL1"
"4540377" "4540377" "LOC727849"
"4640035" "4640035" "LOC727849"
"3890192" "3890192" "DDX46"
"520519" "520519" "CNNM1"
"4490593" "4490593" NA
"2940435" "2940435" "TFRC"
"5960653" "5960653" "TMEM55A"
"3710129" "3710129" "LOC649248"
"3440025" "3440025" "AGPAT4"
"780129" "780129" "SLA2"
"6840711" "6840711" "DARS"
"3170209" "3170209" "ENTPD6"
"7200215" "7200215" "ENTPD6"
"5490719" "5490719" "FCAMR"
"4570438" "4570438" "CD68"
"6220382" "6220382" "CD68"
"1110440" "1110440" "WDR77"
"2480601" "2480601" NA
"4150167" "4150167" NA
"2650750" "2650750" "CASP8"
"2320026" "2320026" "LOC650678"
"380341" "380341" "KCNRG"
"110243" "110243" NA
"4120048" "4120048" NA
"7000441" "7000441" NA
"2630692" "2630692" "ACACA"
"6650328" "6650328" "ACACA"
"4050494" "4050494" "ZNF705D"
"6840243" "6840243" "ZNF705D"
"1850369" "1850369" "ZNF705D"
"2030768" "2030768" "LOC339782"
"670494" "670494" "LOC389641"
"6900114" "6900114" "SEMA3A"
"360630" "360630" "LOC650323"
"5900050" "5900050" "LOC653800"
"4150093" "4150093" NA
"6450538" "6450538" "TCERG1"
"4490600" "4490600" "TCERG1"
"4060646" "4060646" "TCERG1"
"20204" "20204" NA
"5260630" "5260630" "SOCS3"
"6270706" "6270706" "SMG7"
"5550114" "5550114" "SMG7"
"5910129" "5910129" NA
