"Ensembl" "Entrez"
"16293" "ENSG00000142583" "SLC2A5"
"16449" "ENSG00000252404" "SCARNA16"
"16452" "ENSG00000180758" "GPR157"
"16474" "ENSG00000228526" "MIR34A"
"16486" "ENSG00000234546" "RP3-510D11.2"
"16498" "ENSG00000281937" "RP3-510D11.4"
"16501" "ENSG00000049239" "H6PD"
"16535" "ENSG00000171621" "SPSB1"
"16573" "ENSG00000252956" "RNA5SP40"
"16576" "ENSG00000235263" "RP13-392I16.1"
"16580" "ENSG00000171612" "SLC25A33"
"16600" "ENSG00000231181" "RP13-15M17.1"
"16603" "ENSG00000188807" "TMEM201"
"16685" "ENSG00000171608" "PIK3CD"
"16962" "ENSG00000179840" "PIK3CD-AS1"
"16966" "ENSG00000233268" "RP11-558F24.2"
"16970" "ENSG00000231789" "PIK3CD-AS2"
"16975" "ENSG00000171603" "CLSTN1"
"17099" "ENSG00000271264" "MZT1P1"
"17103" "ENSG00000280113" "AL357140.1"
"17111" "ENSG00000178585" "CTNNBIP1"
"17174" "ENSG00000223989" "RP11-84A14.5"
"17179" "ENSG00000162441" "LZIC"
"17257" "ENSG00000228150" "RP11-84A14.4"
"17261" "ENSG00000173614" "NMNAT1"
"17319" "ENSG00000202415" "RN7SKP269"
"17322" "ENSG00000283611" "RP11-84A14.6"
"17328" "ENSG00000265521" "MIR5697"
"17331" "ENSG00000241326" "RP11-807G9.2"
"17335" "ENSG00000162444" "RBP7"
"17364" "ENSG00000130939" "UBE4B"
"17555" "ENSG00000224340" "RP11-496H15.2"
"17558" "ENSG00000233623" "PGAM1P11"
"17562" "ENSG00000201746" "RNU6-828P"
"17565" "ENSG00000054523" "KIF1B"
"18215" "ENSG00000264881" "MIR1273D"
"18218" "ENSG00000199562" "RNU6-37P"
"18221" "ENSG00000264501" "RN7SL731P"
"18224" "ENSG00000142657" "PGD"
"18345" "ENSG00000271989" "RP4-736L20.3"
"18348" "ENSG00000251503" "APITD1-CORT"
"18418" "ENSG00000175279" "CENPS"
"18466" "ENSG00000241563" "CORT"
"18476" "ENSG00000160049" "DFFA"
"18524" "ENSG00000203469" "RP5-1113E3.3"
"18528" "ENSG00000142655" "PEX14"
"18575" "ENSG00000243267" "RN7SL614P"
"18578" "ENSG00000130940" "CASZ1"
"18698" "ENSG00000272078" "RP4-734G22.3"
"18702" "ENSG00000225158" "HSPE1P24"
"18705" "ENSG00000175262" "C1orf127"
"18792" "ENSG00000215785" "CFL1P6"
"18796" "ENSG00000120948" "TARDBP"
"19127" "ENSG00000277726" "RP4-635E18.9"
"19189" "ENSG00000009724" "MASP2"
"19239" "ENSG00000271895" "RP4-635E18.8"
"19245" "ENSG00000116649" "SRM"
"19308" "ENSG00000171824" "EXOSC10"
"19474" "ENSG00000226849" "RP4-635E18.7"
"19478" "ENSG00000230337" "RP4-635E18.6"
"19485" "ENSG00000198793" "MTOR"
"19693" "ENSG00000225602" "MTOR-AS1"
"19704" "ENSG00000253086" "RNU6-537P"
"19707" "ENSG00000171819" "ANGPTL7"
"19727" "ENSG00000207451" "RNU6-291P"
"19730" "ENSG00000238173" "RPL39P6"
"19733" "ENSG00000120942" "UBIAD1"
"19774" "ENSG00000238199" "UBE2V2P3"
"19778" "ENSG00000224338" "MTCYBP45"
"19781" "ENSG00000204624" "DISP3"
"19847" "ENSG00000235643" "RP1-69M21.2"
"19852" "ENSG00000116661" "FBXO2"
"19889" "ENSG00000132879" "FBXO44"
"20031" "ENSG00000116663" "FBXO6"
"20065" "ENSG00000116670" "MAD2L2"
"20227" "ENSG00000162490" "DRAXIN"
"20247" "ENSG00000177674" "AGTRAP"
"20405" "ENSG00000215910" "C1orf167"
"20545" "ENSG00000177553" "RP11-56N19.5"
"20550" "ENSG00000177000" "MTHFR"
"20705" "ENSG00000011021" "CLCN6"
"20914" "ENSG00000242349" "NPPA-AS1"
"20924" "ENSG00000276470" "NPPA-AS1_1"
"20927" "ENSG00000278852" "NPPA-AS1_2"
"20930" "ENSG00000175206" "NPPA"
"20966" "ENSG00000275915" "NPPA-AS1_3"
"20969" "ENSG00000120937" "NPPB"
"20981" "ENSG00000224904" "RP5-934G17.6"
"20984" "ENSG00000199347" "RNU5E-1"
"20987" "ENSG00000201801" "RNU5E-4P"
"20990" "ENSG00000116685" "KIAA2013"
"21024" "ENSG00000083444" "PLOD1"
"21137" "ENSG00000116688" "MFN2"
"21247" "ENSG00000270914" "RP5-1077B9.5"
"21250" "ENSG00000116691" "MIIP"
"21310" "ENSG00000202461" "Y_RNA"
"21313" "ENSG00000276869" "MIR6729"
"21316" "ENSG00000243539" "RN7SL649P"
"21319" "ENSG00000120949" "TNFRSF8"
"21441" "ENSG00000201135" "RNU6-777P"
"21444" "ENSG00000227875" "RPL23AP89"
"21447" "ENSG00000028137" "TNFRSF1B"
"21503" "ENSG00000263676" "MIR4632"
"21506" "ENSG00000225196" "RPL10P17"
"21509" "ENSG00000252969" "SNORA70"
"21512" "ENSG00000048707" "VPS13D"
"22021" "ENSG00000239149" "SNORA59A"
"22024" "ENSG00000229484" "RP5-888M10.2"
"22028" "ENSG00000162496" "DHRS3"
"22071" "ENSG00000221340" "RNU6ATAC18P"
"22074" "ENSG00000276830" "MIR6730"
"22077" "ENSG00000272482" "RP11-474O21.5"
"22080" "ENSG00000204518" "AADACL4"
"22093" "ENSG00000226166" "RP11-474O21.2"
"22096" "ENSG00000188984" "AADACL3"
"22114" "ENSG00000157330" "C1orf158"
"22142" "ENSG00000116726" "PRAMEF12"
"22154" "ENSG00000116721" "PRAMEF1"
"22171" "ENSG00000228338" "RP5-845O24.8"
"22175" "ENSG00000239810" "PRAMEF11"
"22189" "ENSG00000231103" "PRAMEF30P"
"22195" "ENSG00000179172" "HNRNPCL1"
"22204" "ENSG00000120952" "PRAMEF2"
"22218" "ENSG00000243073" "PRAMEF4"
"22232" "ENSG00000187545" "PRAMEF10"
"22246" "ENSG00000204510" "PRAMEF7"
"22270" "ENSG00000207434" "RNU6-1072P"
"22273" "ENSG00000234064" "PRAMEF29P"
"22277" "ENSG00000232423" "PRAMEF6"
"22304" "ENSG00000274178" "PRAMEF28P"
"22309" "ENSG00000274764" "PRAMEF27"
"22323" "ENSG00000229571" "PRAMEF25"
"22363" "ENSG00000277058" "HNRNPCL3"
"22373" "ENSG00000277862" "PRAMEF34P"
"22378" "ENSG00000236179" "PRAMEF35P"
"22382" "ENSG00000275774" "HNRNPCL2"
"22392" "ENSG00000229978" "PRAMEF36P"
"22400" "ENSG00000233336" "RP13-221M14.2"
"22404" "ENSG00000280267" "PRAMEF26"
"22418" "ENSG00000179412" "HNRNPCL4"
"22424" "ENSG00000204505" "PRAMEF9"
"22438" "ENSG00000279169" "PRAMEF13"
"22443" "ENSG00000279804" "PRAMEF18"
"22454" "ENSG00000250894" "PRAMEF31P"
"22459" "ENSG00000270601" "PRAMEF5"
"22473" "ENSG00000231219" "PRAMEF32P"
"22477" "ENSG00000207511" "RNU6-771P"
"22480" "ENSG00000182330" "PRAMEF8"
"22517" "ENSG00000204501" "PRAMEF15"
"22544" "ENSG00000237700" "PRAMEF33P"
"22549" "ENSG00000228229" "RP11-219C24.10"
"22553" "ENSG00000204481" "PRAMEF14"
"22570" "ENSG00000204480" "PRAMEF19"
"22580" "ENSG00000204479" "PRAMEF17"
"22592" "ENSG00000204478" "PRAMEF20"
"22617" "ENSG00000162494" "LRRC38"
"22627" "ENSG00000259961" "RP4-597A16.2"
"22632" "ENSG00000215909" "BRWD1P1"
"22636" "ENSG00000162493" "PDPN"
"22831" "ENSG00000222952" "RNA5SP41"
"22834" "ENSG00000237445" "CTA-520D8.2"
"22838" "ENSG00000253085" "SCARNA11"
"22841" "ENSG00000116731" "PRDM2"
"23031" "ENSG00000189337" "KAZN"
"23222" "ENSG00000252151" "RNU6-1265P"
"23225" "ENSG00000231606" "RP11-344F13.1"
"23229" "ENSG00000234593" "RP4-704D23.1"
"23235" "ENSG00000235829" "TBCAP2"
"23239" "ENSG00000175147" "TMEM51-AS1"
"23253" "ENSG00000171729" "TMEM51"
"23324" "ENSG00000204464" "C1orf195"
"23331" "ENSG00000215720" "RP1-21O18.3"
"23335" "ENSG00000278480" "RP5-903E17.2"
"23339" "ENSG00000142621" "FHAD1"
"23744" "ENSG00000233485" "RP3-467K16.2"
"23748" "ENSG00000236045" "RP3-467K16.7"
"23752" "ENSG00000228140" "RP3-467K16.4"
"23757" "ENSG00000142634" "EFHD2"
"23784" "ENSG00000162438" "CTRC"
"23832" "ENSG00000142615" "CELA2A"
"23862" "ENSG00000215704" "CELA2B"
"23904" "ENSG00000132906" "CASP9"
"24086" "ENSG00000116138" "DNAJC16"
"24293" "ENSG00000251866" "SCARNA21"
"24296" "ENSG00000272510" "RP4-680D5.8"
"24299" "ENSG00000116771" "AGMAT"
"24319" "ENSG00000237301" "RP4-680D5.2"
"24323" "ENSG00000235084" "CHCHD2P6"
"24326" "ENSG00000252417" "RNU7-179P"
