"probeID" "Entrez"
"394" "394" "RGS12"
"395" "395" ""
"396" "396" ""
"397" "397" "NISCH"
"398" "398" "TOX"
"399" "399" "PTPLAD2"
"400" "400" "PTGIR"
"401" "401" ""
"402" "402" "SYT6"
"403" "403" "COX7A1"
"404" "404" ""
"405" "405" "PBLD"
"406" "406" "EVA1C"
"407" "407" "ZZZ3"
"408" "408" "SP1"
"409" "409" "FAM129C"
"410" "410" "LLPH"
"411" "411" "ACOX3"
"412" "412" ""
"413" "413" "TBC1D14"
"414" "414" "SULT1A2"
"415" "415" "GPR27"
"416" "416" "BAZ1A"
"417" "417" ""
"418" "418" ""
"419" "419" ""
"420" "420" ""
"421" "421" ""
"422" "422" ""
"423" "423" ""
"424" "424" ""
"425" "425" ""
"426" "426" ""
"427" "427" ""
"428" "428" ""
"429" "429" ""
"430" "430" ""
"431" "431" ""
"432" "432" ""
"433" "433" ""
"434" "434" "PRKAA2"
"435" "435" "AQP2"
"436" "436" "RWDD2A"
"437" "437" "METTL23"
"438" "438" ""
"439" "439" "GH2"
"440" "440" "MED28"
"441" "441" ""
"442" "442" "BTF3P11"
"443" "443" "LOC100130156"
"444" "444" "LNX2"
"445" "445" ""
"446" "446" "LINC01000"
"447" "447" "PI4KB"
"448" "448" "JUNB"
"449" "449" "GOLGA8A"
"450" "450" "BAZ2B"
"451" "451" ""
"452" "452" "KIRREL2"
"453" "453" "PML"
"454" "454" ""
"455" "455" ""
"456" "456" "WFDC12"
"457" "457" ""
"458" "458" "IGSF10"
"459" "459" ""
"460" "460" "TTI1"
"461" "461" "GJB7"
"462" "462" "OCR1"
"463" "463" "RNF11"
"464" "464" "KCTD3"
"465" "465" "RFPL1S"
"466" "466" "SGCZ"
"467" "467" "SERPING1"
"468" "468" "RNASE7"
"469" "469" "RALY"
"470" "470" ""
"471" "471" "LAMA5"
"472" "472" "SERPINB8"
"473" "473" ""
"474" "474" "ZNF559"
"475" "475" "NPW"
"476" "476" ""
"477" "477" "GRPR"
"478" "478" "DOT1L"
"479" "479" ""
"480" "480" "L3MBTL4"
"481" "481" ""
"482" "482" "XBP1"
"483" "483" "WASH3P"
"484" "484" ""
"485" "485" "KLK3"
"486" "486" "SCUBE2"
"487" "487" ""
"488" "488" ""
"489" "489" "MRPL43"
"490" "490" "KIAA0141"
"491" "491" "ZNF770"
"492" "492" "HPX"
"493" "493" "TWSG1"
"494" "494" "TRIM4"
"495" "495" "ZNF74"
"496" "496" "FAM110B"
"497" "497" "PGPEP1"
"498" "498" "LAMA1"
"499" "499" "ZNF487"
"500" "500" "ADNP-AS1"
"501" "501" ""
"502" "502" "TXLNGY"
"503" "503" ""
"504" "504" ""
"505" "505" ""
"506" "506" ""
"507" "507" ""
"508" "508" ""
"509" "509" ""
"510" "510" ""
"511" "511" ""
"512" "512" ""
"513" "513" ""
"514" "514" ""
"515" "515" ""
"516" "516" ""
"517" "517" ""
"518" "518" ""
"519" "519" "CASKIN2"
"520" "520" "DENND4B"
"521" "521" "NECAP2"
"522" "522" "ZBTB11"
"523" "523" "CFAP74"
"524" "524" "NCOA3"
"525" "525" "KRT75"
"526" "526" "DHRSX"
"527" "527" "RUVBL1"
"528" "528" ""
"529" "529" "LRRC75B"
"530" "530" "DUSP5P1"
"531" "531" "CATSPERB"
"532" "532" "AFF1"
"533" "533" "ZNF697"
"534" "534" ""
"535" "535" "TNFSF10"
"536" "536" "ZNF506"
"537" "537" ""
"538" "538" "YY1AP1"
"539" "539" "JAK2"
"540" "540" "MUC5AC"
"541" "541" "PPP4R4"
"542" "542" ""
"543" "543" "DNAJC3"
"544" "544" "TMEM230"
"545" "545" "FAM65A"
"546" "546" "TLE4"
"547" "547" ""
"548" "548" "ADAM21"
"549" "549" "PLAC8"
"550" "550" ""
"551" "551" ""
"552" "552" "OLFM1"
"553" "553" "CREBBP"
"554" "554" ""
"555" "555" "NUDT18"
"556" "556" ""
"557" "557" "FOXG1"
"558" "558" "LRRC61"
"559" "559" "PDPN"
"560" "560" "TROVE2"
"561" "561" "FGF5"
"562" "562" ""
"563" "563" "CTSW"
"564" "564" ""
"565" "565" "C14orf166"
"566" "566" "CCNA2"
"567" "567" "SORBS1"
"568" "568" ""
"569" "569" ""
"570" "570" ""
"571" "571" "PRKCE"
"572" "572" ""
"573" "573" "LIN7B"
"574" "574" "TARBP2"
"575" "575" "ZNF181"
"576" "576" "POLH"
"577" "577" ""
"578" "578" "MBTPS1"
"579" "579" ""
"580" "580" "DPP6"
"581" "581" "CLEC2D"
"582" "582" "WDR26"
"583" "583" "LHFPL1"
"584" "584" ""
"585" "585" "BCAP31"
"586" "586" "TRPM1"
"587" "587" "MBOAT1"
"588" "588" "HNRNPU"
"589" "589" ""
"590" "590" ""
"591" "591" ""
"592" "592" ""
"593" "593" ""
"594" "594" ""
"595" "595" ""
"596" "596" ""
"597" "597" ""
"598" "598" ""
"599" "599" ""
"600" "600" ""
"601" "601" ""
"602" "602" ""
"603" "603" "SHMT1"
"604" "604" "MXRA7"
"605" "605" ""
"606" "606" "MAGI1"
"607" "607" "DFNB31"
"608" "608" "USB1"
"609" "609" "FASLG"
"610" "610" "BTBD18"
"611" "611" ""
"612" "612" "CENPBD1"
"613" "613" "PTGIS"
"614" "614" ""
"615" "615" "ACPT"
"616" "616" "CKMT1A"
"617" "617" "TUBGCP5"
"618" "618" "KIT"
"619" "619" "BEST1///FTH1"
"620" "620" ""
"621" "621" "ASB4"
"622" "622" "ZKSCAN5"
"623" "623" ""
"624" "624" "MTHFS"
"625" "625" ""
"626" "626" "WNK2"
"627" "627" "ZC3H11A"
"628" "628" "RQCD1"
"629" "629" "ITGAE"
"630" "630" "FAM175A"
"631" "631" "TOR2A"
"632" "632" "TBL1XR1"
"633" "633" "SLC50A1"
"634" "634" "PAX8"
"635" "635" "LCOR"
"636" "636" "CHD2"
"637" "637" "LRRC4C"
"638" "638" "CAPS"
"639" "639" ""
"640" "640" "TCP1"
"641" "641" "ZNF383"
"642" "642" ""
"643" "643" "CTNNA2"
"644" "644" "LILRA4"
"645" "645" "U2AF1"
"646" "646" "MRPL42P5"
"647" "647" "LINC01347"
"648" "648" "MTA3"
"649" "649" "TEX33"
"650" "650" "SCUBE1"
"651" "651" "MED8"
"652" "652" ""
"653" "653" "RNF186"
"654" "654" "TMEM167A"
"655" "655" ""
"656" "656" "TMEM167B"
"657" "657" "ANKRD11"
"658" "658" "EXOC3"
"659" "659" ""
"660" "660" ""
"661" "661" ""
"662" "662" ""
"663" "663" ""
"664" "664" "P2RX4"
"665" "665" "RC3H2"
"666" "666" "MARCH4"
"667" "667" "KCNE1L"
"668" "668" "PMPCA"
"669" "669" "MPEG1"
"670" "670" "CLN3"
"671" "671" "PLCH2"
"672" "672" "SNX20"
"673" "673" "MRPS12"
"674" "674" ""
"675" "675" ""
"676" "676" ""
"677" "677" ""
"678" "678" ""
"679" "679" ""
"680" "680" ""
"681" "681" ""
"682" "682" ""
"683" "683" ""
"684" "684" ""
"685" "685" ""
"686" "686" ""
"687" "687" ""
"688" "688" "A4GNT"
"689" "689" ""
"690" "690" ""
"691" "691" "ARCN1"
"692" "692" "KCNMA1"
"693" "693" "TMEM38B"
"694" "694" "PNLIPRP1"
"695" "695" "LINC00313"
"696" "696" "KRT12"
"697" "697" "CXCR2P1"
"698" "698" "PLN"
"699" "699" "ARID5B"
"700" "700" ""
"701" "701" "LOC100506124"
"702" "702" "CCSAP"
"703" "703" "OAZ1"
"704" "704" "STRA13"
"705" "705" ""
"706" "706" "PTRHD1"
"707" "707" "LOC100128398"
"708" "708" "GEMIN5"
"709" "709" ""
"710" "710" ""
"711" "711" "EBNA1BP2"
"712" "712" "DRD3"
"713" "713" "MET"
"714" "714" "MARCH3"
"715" "715" ""
"716" "716" ""
"717" "717" "CD40"
"718" "718" "C10orf10"
"719" "719" "RABGAP1L"
"720" "720" "SNAPC3"
"721" "721" ""
"722" "722" "ZMIZ1"
"723" "723" "AGPAT2"
"724" "724" ""
"725" "725" "RNF216P1"
"726" "726" ""
"727" "727" "RTP1"
"728" "728" "CATSPERD"
"729" "729" "ICA1"
"730" "730" "MTRF1L"
"731" "731" "TBC1D22B"
"732" "732" "CD1E"
"733" "733" "ERGIC2"
"734" "734" "KRT6C"
"735" "735" "DNAJC3"
"736" "736" "CLASP2"
"737" "737" ""
"738" "738" "HS3ST1"
"739" "739" "SLC17A6"
"740" "740" "FAM115C"
"741" "741" "S100A7A"
"742" "742" "FGFR2"
"743" "743" ""
"744" "744" "ZNF847P"
"745" "745" "KCNK3"
"746" "746" "RPUSD4"
"747" "747" "AGMAT"
"748" "748" ""
"749" "749" "PPIE"
"750" "750" "ETNK2"
"751" "751" "MKLN1"
"752" "752" "SUSD5"
"753" "753" ""
"754" "754" "SRPR"
"755" "755" "TRMT1"
"756" "756" "IL10RA"
"757" "757" "TMEM128"
"758" "758" ""
"759" "759" "FBXO28"
"760" "760" ""
"761" "761" ""
"762" "762" ""
"763" "763" ""
